,RaT,Pr,RaS,Sc,x,Tbar,σTbar,Tp2,σTp2,chiT,σchiT,epsilon,σepsilon,vxT,σvxT,vxp2,σvxp2,vxvy,σvxvy,vxvz,σvxvz,vyT,σvyT,vybar,σvybar,vyp2,σvyp2,vzT,σvzT,vzbar,σvzbar,vzp2,σvzp2,Rρ,ν,κT,κS
0,-20000.0,1.0,10000000.0,10.0,0.0006884041309397904,-0.4968086815277186,0.00019956875396688126,3.0724572235899667e-06,6.313947073562056e-07,0.028058209454326577,0.00391348281784593,0.19100730168245147,0.015795802569554342,-1.5923869916102167e-08,3.830125378332867e-09,3.854825836066607e-10,1.1049601495779222e-10,4.029737260547369e-09,1.414113838951434e-09,-5.82691818308833e-11,7.797426868700391e-10,-0.0044303460737201115,0.00022504926070647792,0.008913962570519851,0.000450597023960348,9.538882510577617e-06,1.5458767757487922e-06,-7.994865254292524e-06,5.325987674951082e-05,1.610865957586507e-05,0.00010738960219640133,5.8156387187659904e-06,1.288437492042182e-06,0.02,0.001,0.001,0.0001
1,-20000.0,1.0,10000000.0,10.0,0.0021174658670197744,-0.49018390368703946,0.0006135228735983592,2.9069891242432976e-05,5.9735203648627135e-06,0.028056822549661777,0.003910955950866418,0.17274409255976034,0.014845676766362243,-2.5745400231584575e-07,6.180522622518849e-08,1.0388215656974197e-08,2.9528374155858284e-09,6.59509309585142e-08,2.2876846404793857e-08,-9.372474373362568e-10,1.2559318410043294e-08,-0.012984452962872697,0.0006895736533735688,0.02645333155373123,0.001384798755431678,8.797145096957752e-05,1.4137176090003161e-05,-2.4209681177980902e-05,0.00016087122348433757,4.9548664433258115e-05,0.00032994175712895745,5.2999020573064125e-05,1.1696387031593871e-05,0.02,0.001,0.001,0.0001
2,-20000.0,1.0,10000000.0,10.0,0.003650879316310085,-0.48307615647737534,0.0010573256214166295,8.64109381736096e-05,1.775149692133703e-05,0.02804704858057243,0.003905669638123247,0.15523112077480822,0.013879456807831083,-1.2189986141267722e-06,2.920563123362254e-07,7.652796673727577e-08,2.1576935893975478e-08,3.1596554675804275e-07,1.082067604659151e-07,-4.430129090540602e-09,5.920095096667344e-08,-0.02141448982992429,0.0011828934411059148,0.04422059761185984,0.0023848184263905994,0.0002557180706364166,4.083514455800177e-05,-4.1030513544471784e-05,0.00027207808134421953,8.542873085613571e-05,0.0005684365362598173,0.0001525669620228047,3.355907250085718e-05,0.02,0.001,0.001,0.0001
3,-20000.0,1.0,10000000.0,10.0,0.005288323089106289,-0.47548873490381044,0.0015305165788567822,0.0001812315321565885,3.7204578955474916e-05,0.0280177451688553,0.003893839484283484,0.13834804249602417,0.012887249019489493,-3.589899038342031e-06,8.580996150459408e-07,3.0924464195019604e-07,8.647576541892135e-08,9.427574106807729e-07,3.1791602115543504e-07,-1.3064009401218753e-08,1.7346105567032026e-07,-0.029610795710647952,0.0017019209411840532,0.062039859264820495,0.0034483424360216095,0.0005239767458727683,8.320067348335868e-05,-5.832321872193841e-05,0.00038599806843606115,0.00012373587506079,0.0008227240644090042,0.0003096737601095362,6.7885279611231e-05,0.02,0.001,0.001,0.0001
4,-20000.0,1.0,10000000.0,10.0,0.007029453991881263,-0.46742672697888216,0.002032320896427613,0.0003198951960417252,6.557968725420757e-05,0.027954747544117593,0.00387114455675684,0.12229267830514687,0.011879674324152293,-8.256306635379115e-06,1.9677290701730544e-06,9.056030782324508e-07,2.51075966021091e-07,2.199568452230157e-06,7.284880533680018e-07,-3.016305628847479e-08,3.966425258941691e-07,-0.0374721350459154,0.0022428574811901598,0.07974133787852004,0.004572330519564447,0.0009024184632520437,0.0001425711921878659,-7.593969627319476e-05,0.0005017001147273302,0.00016445073166186576,0.0010926039753055429,0.0005284050473367094,0.00011541809680843331,0.02,0.001,0.001,0.0001
5,-20000.0,1.0,10000000.0,10.0,0.008873907099215483,-0.4588977065219303,0.0025615271042472754,0.0005088110277185233,0.00010405948432038326,0.02784100879979589,0.0038325750369062736,0.10723130637366839,0.010868554462919173,-1.6306238949740317e-05,3.871413398846772e-06,2.1706618127506256e-06,5.964277818188707e-07,4.411518465289336e-06,1.431648605642681e-06,-5.993683603328318e-08,7.783427312756221e-07,-0.04490786390537649,0.0028011948415459704,0.09716470451219146,0.005752932378479902,0.001398738607544212,0.00022002191467231156,-9.371581870282406e-05,0.0006182100580342075,0.00020754487281483594,0.0013778083691807215,0.0008116353788736409,0.0001766025470045743,0.02,0.001,0.001,0.0001
6,-20000.0,1.0,10000000.0,10.0,0.010821295830282213,-0.44991252337891446,0.0031163530755750884,0.0007541663127710799,0.0001536604031998959,0.027657185146048542,0.0037727987228974866,0.09329437405126466,0.009866506239353121,-2.9020871889665768e-05,6.855700533666592e-06,4.535800778509752e-06,1.234628914965647e-06,7.978721066892895e-06,2.5323604589878924e-06,-1.0752045296123772e-07,1.3755670354414536e-06,-0.05183983330341644,0.003371761923614884,0.11416229858952699,0.006985436740550471,0.002018221875234562,0.00031633074452559404,-0.00011146918349877253,0.0007345201399416489,0.00025297758957226795,0.0016779839436867987,0.0011609068365740856,0.0002515588316305333,0.02,0.001,0.001,0.0001
7,-20000.0,1.0,10000000.0,10.0,0.012871212029871265,-0.4404861557630832,0.0036943083207385524,0.0010615655915662014,0.0002151024027599259,0.02738274771739667,0.003686742017229612,0.08057335077222753,0.008886343953510779,-4.784757200364666e-05,1.1230387072319905e-05,8.572008841448361e-06,2.310501681775131e-06,1.3373244282399241e-05,4.145680772711589e-06,-1.78934640208607e-07,2.2511435045572826e-06,-0.058203911393747615,0.003948820335702445,0.13060202765205567,0.008264263918012988,0.0027633602386668158,0.00043195062604074595,-0.0001289970544979177,0.0008496014826603463,0.0003006922346963884,0.0019926709078949907,0.0015763338394447072,0.00034006352910141577,0.02,0.001,0.001,0.0001
8,-20000.0,1.0,10000000.0,10.0,0.015023226053934663,-0.43063856884253626,0.004292069930111567,0.001435581940472706,0.00028866045023172196,0.026997645045140385,0.0035703413578195725,0.06911938809282105,0.007940383197177263,-7.435101888992869e-05,1.7308945447497646e-05,1.4996325607014138e-05,4.001169763901381e-06,2.1129295596025234e-05,6.393007668359699e-06,-2.8093357179246486e-07,3.4714682581478864e-06,-0.06395101528134126,0.004526209880545017,0.14636970882356173,0.009583016062156871,0.0036335728014667795,0.0005669936602571886,-0.00014607506716947358,0.0009624206023978694,0.0003506123414260006,0.002321281589735754,0.002056541448886742,0.00044154191398617835,0.02,0.001,0.001,0.0001
9,-20000.0,1.0,10000000.0,10.0,0.017276886859636215,-0.4203955032071341,0.004905392617968372,0.0018792463104351932,0.0003740175414391644,0.026484401943737575,0.0034213317837020808,0.05894417553503164,0.007039736001095316,-0.0001101408366806141,2.5382950251278992e-05,2.4670046639789723e-05,6.513357806694026e-06,3.18279511906715e-05,9.39852193174486e-06,-4.207141811676673e-07,5.1037341060167e-06,-0.06904757539102355,0.005097535205518687,0.1613706325028965,0.010934586723826798,0.004625077247151723,0.0007212301981634232,-0.0001624574534654203,0.0010719597785492693,0.0004026378671280749,0.00266308041642364,0.0025986463800001277,0.0005550749594243384,0.02,0.001,0.001,0.0001
